,inaction,disengage,engage
0,0.0,1.0,0.0
1,0.0,2.0,0.0
2,0.0,3.0,0.0
3,0.0,4.0,0.0
4,0.0,5.0,0.0
5,0.0,6.0,0.0
6,0.0,7.0,0.0
7,0.0,8.0,0.0
8,0.0,9.0,0.0
9,1.0,9.0,0.0
10,2.0,9.0,0.0
11,3.0,9.0,0.0
12,4.0,9.0,0.0
13,5.0,9.0,0.0
14,6.0,9.0,0.0
15,7.0,9.0,0.0
16,8.0,9.0,0.0
17,9.0,9.0,0.0
18,10.0,9.0,0.0
19,11.0,9.0,0.0
20,12.0,9.0,0.0
21,13.0,9.0,0.0
22,14.0,9.0,0.0
23,15.0,9.0,0.0
24,16.0,9.0,0.0
25,17.0,9.0,0.0
26,18.0,9.0,0.0
27,19.0,9.0,0.0
28,20.0,9.0,0.0
29,21.0,9.0,0.0
30,22.0,9.0,0.0
31,23.0,9.0,0.0
32,24.0,9.0,0.0
33,25.0,9.0,0.0
34,26.0,9.0,0.0
35,27.0,9.0,0.0
36,28.0,9.0,0.0
37,29.0,9.0,0.0
38,30.0,9.0,0.0
39,31.0,9.0,0.0
40,32.0,9.0,0.0
41,33.0,9.0,0.0
42,34.0,9.0,0.0
43,35.0,9.0,0.0
44,36.0,9.0,0.0
45,36.0,10.0,0.0
46,36.0,11.0,0.0
47,36.0,12.0,0.0
48,36.0,13.0,0.0
49,36.0,14.0,0.0
50,36.0,15.0,0.0
51,36.0,16.0,0.0
52,36.0,17.0,0.0
53,36.0,18.0,0.0
54,37.0,18.0,0.0
55,38.0,18.0,0.0
56,39.0,18.0,0.0
57,40.0,18.0,0.0
58,41.0,18.0,0.0
59,42.0,18.0,0.0
60,43.0,18.0,0.0
61,44.0,18.0,0.0
62,45.0,18.0,0.0
63,45.0,19.0,0.0
64,45.0,20.0,0.0
65,45.0,21.0,0.0
66,45.0,22.0,0.0
67,45.0,23.0,0.0
68,45.0,24.0,0.0
69,45.0,25.0,0.0
70,45.0,26.0,0.0
71,45.0,27.0,0.0
72,45.0,28.0,0.0
73,45.0,29.0,0.0
74,45.0,30.0,0.0
75,45.0,31.0,0.0
76,45.0,32.0,0.0
77,45.0,33.0,0.0
78,45.0,34.0,0.0
79,45.0,35.0,0.0
80,45.0,36.0,0.0
81,46.0,36.0,0.0
82,47.0,36.0,0.0
83,48.0,36.0,0.0
