,inaction,disengage,engage
0,0.0,1.0,0.0
1,0.0,2.0,0.0
2,0.0,3.0,0.0
3,0.0,4.0,0.0
4,0.0,5.0,0.0
5,0.0,6.0,0.0
6,0.0,7.0,0.0
7,0.0,8.0,0.0
8,0.0,9.0,0.0
9,1.0,9.0,0.0
10,2.0,9.0,0.0
11,3.0,9.0,0.0
12,4.0,9.0,0.0
13,5.0,9.0,0.0
14,6.0,9.0,0.0
15,7.0,9.0,0.0
16,8.0,9.0,0.0
17,9.0,9.0,0.0
18,10.0,9.0,0.0
19,11.0,9.0,0.0
20,12.0,9.0,0.0
21,13.0,9.0,0.0
22,14.0,9.0,0.0
23,15.0,9.0,0.0
24,16.0,9.0,0.0
25,17.0,9.0,0.0
26,18.0,9.0,0.0
27,18.0,10.0,0.0
28,18.0,11.0,0.0
29,18.0,12.0,0.0
30,18.0,13.0,0.0
31,18.0,14.0,0.0
32,18.0,15.0,0.0
33,18.0,16.0,0.0
34,18.0,17.0,0.0
35,18.0,18.0,0.0
36,19.0,18.0,0.0
37,20.0,18.0,0.0
38,21.0,18.0,0.0
39,22.0,18.0,0.0
40,23.0,18.0,0.0
41,24.0,18.0,0.0
42,25.0,18.0,0.0
43,26.0,18.0,0.0
44,27.0,18.0,0.0
45,27.0,18.0,1.0
46,27.0,18.0,2.0
47,27.0,18.0,3.0
48,27.0,18.0,4.0
49,27.0,18.0,5.0
50,27.0,18.0,6.0
51,27.0,18.0,7.0
52,27.0,18.0,8.0
53,27.0,18.0,9.0
54,27.0,18.0,10.0
55,27.0,18.0,11.0
56,27.0,18.0,12.0
57,27.0,18.0,13.0
58,27.0,18.0,14.0
59,27.0,18.0,15.0
60,27.0,18.0,16.0
61,27.0,18.0,17.0
62,27.0,18.0,18.0
63,27.0,19.0,18.0
64,27.0,20.0,18.0
65,27.0,21.0,18.0
66,27.0,22.0,18.0
67,27.0,23.0,18.0
68,27.0,24.0,18.0
69,27.0,25.0,18.0
70,27.0,26.0,18.0
71,27.0,27.0,18.0
72,27.0,27.0,19.0
73,27.0,27.0,20.0
74,27.0,27.0,21.0
75,27.0,27.0,22.0
76,27.0,27.0,23.0
77,27.0,27.0,24.0
78,27.0,27.0,25.0
79,27.0,27.0,26.0
80,27.0,27.0,27.0
81,28.0,27.0,27.0
82,29.0,27.0,27.0
83,30.0,27.0,27.0
