,inaction,disengange,engange
0,0.0,0.0,1.0
1,0.0,0.0,2.0
2,1.0,0.0,2.0
3,2.0,0.0,2.0
4,2.0,1.0,2.0
5,2.0,2.0,2.0
6,2.0,2.0,3.0
7,2.0,2.0,4.0
8,2.0,2.0,5.0
9,2.0,2.0,6.0
10,2.0,2.0,7.0
11,2.0,2.0,8.0
12,2.0,2.0,9.0
13,2.0,2.0,10.0
14,2.0,3.0,10.0
15,2.0,4.0,10.0
16,2.0,4.0,11.0
17,2.0,4.0,12.0
18,2.0,4.0,13.0
19,2.0,4.0,14.0
20,3.0,4.0,14.0
21,4.0,4.0,14.0
22,4.0,5.0,14.0
23,4.0,6.0,14.0
24,4.0,6.0,15.0
25,4.0,6.0,16.0
26,4.0,7.0,16.0
27,4.0,8.0,16.0
28,4.0,8.0,17.0
29,4.0,8.0,18.0
30,4.0,8.0,19.0
31,4.0,8.0,20.0
32,4.0,9.0,20.0
33,4.0,10.0,20.0
34,4.0,11.0,20.0
35,4.0,12.0,20.0
36,4.0,12.0,21.0
37,4.0,12.0,22.0
38,5.0,12.0,22.0
39,6.0,12.0,22.0
40,6.0,13.0,22.0
41,6.0,14.0,22.0
42,6.0,15.0,22.0
43,6.0,16.0,22.0
44,6.0,16.0,23.0
45,6.0,16.0,24.0
46,6.0,17.0,24.0
47,6.0,18.0,24.0
48,6.0,18.0,25.0
49,6.0,18.0,26.0
50,6.0,19.0,26.0
51,6.0,20.0,26.0
52,6.0,20.0,27.0
53,6.0,20.0,28.0
54,7.0,20.0,28.0
55,8.0,20.0,28.0
56,8.0,20.0,29.0
57,8.0,20.0,30.0
58,8.0,21.0,30.0
59,8.0,22.0,30.0
60,9.0,22.0,30.0
61,10.0,22.0,30.0
62,10.0,22.0,31.0
63,10.0,22.0,32.0
64,10.0,22.0,33.0
65,10.0,22.0,34.0
66,10.0,22.0,35.0
67,10.0,22.0,36.0
68,10.0,22.0,37.0
69,10.0,22.0,38.0
70,10.0,22.0,39.0
71,10.0,22.0,40.0
72,10.0,23.0,40.0
73,10.0,24.0,40.0
74,11.0,24.0,40.0
75,12.0,24.0,40.0
76,12.0,25.0,40.0
77,12.0,26.0,40.0
78,12.0,26.0,41.0
79,12.0,26.0,42.0
80,12.0,27.0,42.0
81,12.0,28.0,42.0
82,12.0,28.0,43.0
83,12.0,28.0,44.0
84,12.0,28.0,45.0
85,12.0,28.0,46.0
86,12.0,28.0,47.0
87,12.0,28.0,48.0
88,12.0,28.0,49.0
89,12.0,28.0,50.0
90,12.0,28.0,51.0
91,12.0,28.0,52.0
92,12.0,29.0,52.0
93,12.0,30.0,52.0
94,12.0,31.0,52.0
95,12.0,32.0,52.0
96,12.0,33.0,52.0
97,12.0,34.0,52.0
98,13.0,34.0,52.0
99,14.0,34.0,52.0
100,14.0,34.0,53.0
101,14.0,34.0,54.0
102,14.0,34.0,55.0
103,14.0,34.0,56.0
104,14.0,34.0,57.0
105,14.0,34.0,58.0
106,15.0,34.0,58.0
107,16.0,34.0,58.0
108,16.0,35.0,58.0
109,16.0,36.0,58.0
110,16.0,36.0,59.0
