,inaction,disengage,engage
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,3.0,0.0,0.0
3,4.0,0.0,0.0
4,5.0,0.0,0.0
5,6.0,0.0,0.0
6,7.0,0.0,0.0
7,8.0,0.0,0.0
8,9.0,0.0,0.0
9,10.0,0.0,0.0
10,10.0,1.0,0.0
11,10.0,2.0,0.0
12,10.0,3.0,0.0
13,10.0,4.0,0.0
14,10.0,5.0,0.0
15,10.0,6.0,0.0
16,10.0,7.0,0.0
17,10.0,8.0,0.0
18,10.0,9.0,0.0
19,10.0,10.0,0.0
20,11.0,10.0,0.0
21,12.0,10.0,0.0
22,13.0,10.0,0.0
23,14.0,10.0,0.0
24,15.0,10.0,0.0
25,16.0,10.0,0.0
26,17.0,10.0,0.0
27,18.0,10.0,0.0
28,19.0,10.0,0.0
29,20.0,10.0,0.0
30,20.0,11.0,0.0
31,20.0,12.0,0.0
32,20.0,13.0,0.0
33,20.0,14.0,0.0
34,20.0,15.0,0.0
35,20.0,16.0,0.0
36,20.0,17.0,0.0
37,20.0,18.0,0.0
38,20.0,19.0,0.0
39,20.0,20.0,0.0
40,21.0,20.0,0.0
41,22.0,20.0,0.0
42,23.0,20.0,0.0
43,24.0,20.0,0.0
44,25.0,20.0,0.0
45,26.0,20.0,0.0
46,27.0,20.0,0.0
47,28.0,20.0,0.0
48,29.0,20.0,0.0
49,30.0,20.0,0.0
50,30.0,20.0,1.0
51,30.0,20.0,2.0
52,30.0,20.0,3.0
53,30.0,20.0,4.0
54,30.0,20.0,5.0
55,30.0,20.0,6.0
56,30.0,20.0,7.0
57,30.0,20.0,8.0
58,30.0,20.0,9.0
59,30.0,20.0,10.0
60,30.0,21.0,10.0
61,30.0,22.0,10.0
62,30.0,23.0,10.0
63,30.0,24.0,10.0
64,30.0,25.0,10.0
65,30.0,26.0,10.0
66,30.0,27.0,10.0
67,30.0,28.0,10.0
68,30.0,29.0,10.0
69,30.0,30.0,10.0
70,31.0,30.0,10.0
71,32.0,30.0,10.0
72,33.0,30.0,10.0
73,34.0,30.0,10.0
74,35.0,30.0,10.0
75,36.0,30.0,10.0
76,37.0,30.0,10.0
77,38.0,30.0,10.0
78,39.0,30.0,10.0
79,40.0,30.0,10.0
80,40.0,31.0,10.0
81,40.0,32.0,10.0
82,40.0,33.0,10.0
83,40.0,34.0,10.0
84,40.0,35.0,10.0
85,40.0,36.0,10.0
86,40.0,37.0,10.0
87,40.0,38.0,10.0
88,40.0,39.0,10.0
89,40.0,40.0,10.0
90,40.0,41.0,10.0
91,40.0,42.0,10.0
92,40.0,43.0,10.0
93,40.0,44.0,10.0
94,40.0,45.0,10.0
