,inaction,disengange,engange
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,2.0,1.0,0.0
3,2.0,2.0,0.0
4,2.0,3.0,0.0
5,2.0,4.0,0.0
6,2.0,5.0,0.0
7,2.0,6.0,0.0
8,2.0,7.0,0.0
9,2.0,8.0,0.0
10,2.0,8.0,1.0
11,2.0,8.0,2.0
12,2.0,8.0,3.0
13,2.0,8.0,4.0
14,2.0,8.0,5.0
15,2.0,8.0,6.0
16,3.0,8.0,6.0
17,4.0,8.0,6.0
18,4.0,9.0,6.0
19,4.0,10.0,6.0
20,4.0,11.0,6.0
21,4.0,12.0,6.0
22,4.0,13.0,6.0
23,4.0,14.0,6.0
24,4.0,15.0,6.0
25,4.0,16.0,6.0
26,4.0,17.0,6.0
27,4.0,18.0,6.0
28,4.0,19.0,6.0
29,4.0,20.0,6.0
30,4.0,21.0,6.0
31,4.0,22.0,6.0
32,4.0,22.0,7.0
33,4.0,22.0,8.0
34,4.0,23.0,8.0
35,4.0,24.0,8.0
36,4.0,25.0,8.0
37,4.0,26.0,8.0
38,4.0,27.0,8.0
39,4.0,28.0,8.0
40,4.0,29.0,8.0
41,4.0,30.0,8.0
42,4.0,31.0,8.0
43,4.0,32.0,8.0
44,4.0,32.0,9.0
45,4.0,32.0,10.0
46,4.0,32.0,11.0
47,4.0,32.0,12.0
48,4.0,33.0,12.0
49,4.0,34.0,12.0
50,4.0,35.0,12.0
51,4.0,36.0,12.0
52,4.0,37.0,12.0
53,4.0,38.0,12.0
54,4.0,39.0,12.0
55,4.0,40.0,12.0
56,4.0,40.0,13.0
57,4.0,40.0,14.0
58,4.0,40.0,15.0
59,4.0,40.0,16.0
60,4.0,41.0,16.0
61,4.0,42.0,16.0
62,4.0,43.0,16.0
63,4.0,44.0,16.0
64,4.0,45.0,16.0
65,4.0,46.0,16.0
66,4.0,47.0,16.0
67,4.0,48.0,16.0
68,4.0,49.0,16.0
69,4.0,50.0,16.0
70,4.0,50.0,17.0
71,4.0,50.0,18.0
72,4.0,51.0,18.0
73,4.0,52.0,18.0
74,4.0,53.0,18.0
75,4.0,54.0,18.0
76,4.0,54.0,19.0
77,4.0,54.0,20.0
78,4.0,55.0,20.0
79,4.0,56.0,20.0
80,4.0,57.0,20.0
81,4.0,58.0,20.0
82,4.0,59.0,20.0
83,4.0,60.0,20.0
84,4.0,60.0,21.0
85,4.0,60.0,22.0
86,4.0,61.0,22.0
87,4.0,62.0,22.0
88,4.0,63.0,22.0
89,4.0,64.0,22.0
90,4.0,65.0,22.0
91,4.0,66.0,22.0
92,4.0,66.0,23.0
93,4.0,66.0,24.0
94,5.0,66.0,24.0
