,inaction,disengage,engage
0,-4.5,0.0,0.0
1,-6.0,0.0,0.0
2,-6.75,0.0,0.0
3,-6.75,-4.5,0.0
4,-6.75,-4.333333333333333,0.0
5,-6.75,-4.333333333333333,0.0
6,-6.75,-4.333333333333333,-4.5
7,-6.75,-4.333333333333333,-4.666666666666667
8,-6.75,-4.333333333333333,-4.25
9,-6.75,-5.75,-4.25
10,-6.75,-5.6,-4.25
11,-6.75,-5.6,-4.25
12,-6.75,-5.6,-4.8
13,-6.75,-5.6,-4.5
14,-6.75,-5.6,-4.0
15,-6.8,-5.6,-4.0
16,-6.833333333333333,-5.6,-4.0
17,-6.857142857142857,-5.6,-4.0
18,-6.857142857142857,-5.6,-4.5
19,-6.857142857142857,-5.6,-4.444444444444445
20,-6.857142857142857,-5.6,-4.2
21,-6.857142857142857,-6.0,-4.2
22,-6.857142857142857,-5.571428571428571,-4.2
23,-6.857142857142857,-5.571428571428571,-4.2
24,-6.857142857142857,-5.875,-4.2
25,-6.857142857142857,-5.555555555555555,-4.2
26,-6.857142857142857,-5.555555555555555,-4.2
27,-6.857142857142857,-5.555555555555555,-4.545454545454546
28,-6.857142857142857,-5.555555555555555,-4.5
29,-6.857142857142857,-5.555555555555555,-4.3076923076923075
30,-6.875,-5.555555555555555,-4.3076923076923075
31,-6.888888888888889,-5.555555555555555,-4.3076923076923075
32,-6.9,-5.555555555555555,-4.3076923076923075
33,-6.9,-5.8,-4.3076923076923075
34,-6.9,-5.545454545454546,-4.3076923076923075
35,-6.9,-5.545454545454546,-4.3076923076923075
36,-6.9,-5.545454545454546,-4.5
37,-6.9,-5.545454545454546,-4.4
38,-6.9,-5.545454545454546,-4.1875
39,-7.181818181818182,-5.545454545454546,-4.1875
40,-7.416666666666667,-5.545454545454546,-4.1875
41,-7.615384615384615,-5.545454545454546,-4.1875
42,-7.615384615384615,-5.666666666666667,-4.1875
43,-7.615384615384615,-5.384615384615385,-4.1875
44,-7.615384615384615,-5.384615384615385,-4.1875
45,-7.615384615384615,-5.384615384615385,-4.352941176470588
46,-7.615384615384615,-5.384615384615385,-4.277777777777778
47,-7.615384615384615,-5.384615384615385,-4.105263157894737
48,-7.615384615384615,-5.5,-4.105263157894737
49,-7.615384615384615,-5.266666666666667,-4.105263157894737
