,inaction,disengange,engange
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,2.0,0.0,1.0
3,2.0,0.0,2.0
4,2.0,1.0,2.0
5,2.0,2.0,2.0
6,2.0,3.0,2.0
7,2.0,4.0,2.0
8,2.0,5.0,2.0
9,2.0,6.0,2.0
10,2.0,7.0,2.0
11,2.0,8.0,2.0
12,2.0,9.0,2.0
13,2.0,10.0,2.0
14,2.0,11.0,2.0
15,2.0,12.0,2.0
16,2.0,13.0,2.0
17,2.0,14.0,2.0
18,2.0,15.0,2.0
19,2.0,16.0,2.0
20,2.0,17.0,2.0
21,2.0,18.0,2.0
22,2.0,19.0,2.0
23,2.0,20.0,2.0
24,2.0,21.0,2.0
25,2.0,22.0,2.0
26,2.0,23.0,2.0
27,2.0,24.0,2.0
28,2.0,24.0,3.0
29,2.0,24.0,4.0
30,2.0,25.0,4.0
31,2.0,26.0,4.0
32,3.0,26.0,4.0
33,4.0,26.0,4.0
34,4.0,26.0,5.0
35,4.0,26.0,6.0
36,4.0,27.0,6.0
37,4.0,28.0,6.0
38,4.0,29.0,6.0
39,4.0,30.0,6.0
40,4.0,30.0,7.0
41,4.0,30.0,8.0
42,4.0,30.0,9.0
43,4.0,30.0,10.0
44,4.0,30.0,11.0
45,4.0,30.0,12.0
46,4.0,30.0,13.0
47,4.0,30.0,14.0
48,4.0,30.0,15.0
49,4.0,30.0,16.0
50,4.0,30.0,17.0
51,4.0,30.0,18.0
52,4.0,31.0,18.0
53,4.0,32.0,18.0
54,4.0,33.0,18.0
55,4.0,34.0,18.0
56,4.0,34.0,19.0
57,4.0,34.0,20.0
58,5.0,34.0,20.0
59,6.0,34.0,20.0
60,6.0,35.0,20.0
61,6.0,36.0,20.0
62,6.0,37.0,20.0
63,6.0,38.0,20.0
64,6.0,38.0,21.0
65,6.0,38.0,22.0
66,6.0,39.0,22.0
67,6.0,40.0,22.0
68,6.0,41.0,22.0
69,6.0,42.0,22.0
70,6.0,43.0,22.0
71,6.0,44.0,22.0
72,6.0,45.0,22.0
73,6.0,46.0,22.0
74,6.0,47.0,22.0
75,6.0,48.0,22.0
76,6.0,49.0,22.0
77,6.0,50.0,22.0
78,6.0,50.0,23.0
79,6.0,50.0,24.0
80,6.0,51.0,24.0
81,6.0,52.0,24.0
82,6.0,53.0,24.0
83,6.0,54.0,24.0
84,6.0,54.0,25.0
85,6.0,54.0,26.0
86,6.0,54.0,27.0
87,6.0,54.0,28.0
88,7.0,54.0,28.0
89,8.0,54.0,28.0
90,8.0,55.0,28.0
91,8.0,56.0,28.0
92,8.0,57.0,28.0
93,8.0,58.0,28.0
94,8.0,59.0,28.0
