,inaction,disengage,engage
0,-5.0,0.0,0.0
1,-6.666666666666667,0.0,0.0
2,-7.5,0.0,0.0
3,-7.5,-4.5,0.0
4,-7.5,-4.333333333333333,0.0
5,-7.5,-4.333333333333333,0.0
6,-7.5,-4.333333333333333,-4.5
7,-7.5,-4.333333333333333,-4.666666666666667
8,-7.5,-4.333333333333333,-4.666666666666667
9,-7.5,-5.5,-4.666666666666667
10,-7.5,-5.2,-4.666666666666667
11,-7.5,-5.2,-4.666666666666667
12,-7.5,-5.2,-6.0
13,-7.5,-5.2,-6.0
14,-7.5,-5.2,-5.166666666666667
15,-7.5,-5.5,-5.166666666666667
16,-7.5,-5.0,-5.166666666666667
17,-7.5,-5.0,-5.166666666666667
18,-7.4,-5.0,-5.166666666666667
19,-7.333333333333333,-5.0,-5.166666666666667
20,-7.285714285714286,-5.0,-5.166666666666667
21,-7.285714285714286,-5.0,-5.714285714285714
22,-7.285714285714286,-5.0,-5.625
23,-7.285714285714286,-5.0,-5.625
24,-7.285714285714286,-5.625,-5.625
25,-7.285714285714286,-5.555555555555555,-5.625
26,-7.285714285714286,-5.555555555555555,-5.625
27,-7.285714285714286,-5.555555555555555,-6.111111111111111
28,-7.285714285714286,-5.555555555555555,-6.1
29,-7.285714285714286,-5.555555555555555,-5.636363636363637
30,-7.285714285714286,-5.9,-5.636363636363637
31,-7.285714285714286,-5.7272727272727275,-5.636363636363637
32,-7.285714285714286,-5.7272727272727275,-5.636363636363637
33,-7.25,-5.7272727272727275,-5.636363636363637
34,-7.222222222222222,-5.7272727272727275,-5.636363636363637
35,-7.2,-5.7272727272727275,-5.636363636363637
36,-7.2,-5.7272727272727275,-5.75
37,-7.2,-5.7272727272727275,-5.538461538461538
38,-7.2,-5.7272727272727275,-5.538461538461538
39,-7.181818181818182,-5.7272727272727275,-5.538461538461538
40,-7.166666666666667,-5.7272727272727275,-5.538461538461538
41,-7.153846153846154,-5.7272727272727275,-5.538461538461538
42,-7.153846153846154,-5.833333333333333,-5.538461538461538
43,-7.153846153846154,-5.538461538461538,-5.538461538461538
44,-7.153846153846154,-5.538461538461538,-5.538461538461538
45,-7.153846153846154,-5.857142857142857,-5.538461538461538
46,-7.153846153846154,-5.8,-5.538461538461538
47,-7.153846153846154,-5.8,-5.538461538461538
48,-7.153846153846154,-5.8,-5.714285714285714
49,-7.153846153846154,-5.8,-5.6
50,-7.153846153846154,-5.8,-5.6
51,-7.153846153846154,-5.8,-5.6875
52,-7.153846153846154,-5.8,-5.529411764705882
53,-7.153846153846154,-5.8,-5.529411764705882
54,-7.153846153846154,-5.875,-5.529411764705882
55,-7.153846153846154,-5.647058823529412,-5.529411764705882
56,-7.153846153846154,-5.647058823529412,-5.529411764705882
57,-7.285714285714286,-5.647058823529412,-5.529411764705882
58,-7.4,-5.647058823529412,-5.529411764705882
59,-7.5,-5.647058823529412,-5.529411764705882
60,-7.5,-5.647058823529412,-5.722222222222222
