,inaction,disengage,engage
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,3.0,0.0,0.0
3,4.0,0.0,0.0
4,5.0,0.0,0.0
5,6.0,0.0,0.0
6,6.0,1.0,0.0
7,6.0,2.0,0.0
8,6.0,3.0,0.0
9,6.0,3.0,1.0
10,6.0,3.0,2.0
11,6.0,3.0,3.0
12,6.0,4.0,3.0
13,6.0,5.0,3.0
14,6.0,6.0,3.0
15,6.0,6.0,4.0
16,6.0,6.0,5.0
17,6.0,6.0,6.0
18,6.0,6.0,7.0
19,6.0,6.0,8.0
20,6.0,6.0,9.0
21,6.0,7.0,9.0
22,6.0,8.0,9.0
23,6.0,9.0,9.0
24,7.0,9.0,9.0
25,8.0,9.0,9.0
26,9.0,9.0,9.0
27,9.0,9.0,10.0
28,9.0,9.0,11.0
29,9.0,9.0,12.0
30,9.0,10.0,12.0
31,9.0,11.0,12.0
32,9.0,12.0,12.0
33,9.0,13.0,12.0
34,9.0,14.0,12.0
35,9.0,15.0,12.0
36,10.0,15.0,12.0
37,11.0,15.0,12.0
38,12.0,15.0,12.0
39,12.0,15.0,13.0
40,12.0,15.0,14.0
41,12.0,15.0,15.0
42,12.0,16.0,15.0
43,12.0,17.0,15.0
44,12.0,18.0,15.0
45,12.0,18.0,16.0
46,12.0,18.0,17.0
47,12.0,18.0,18.0
48,12.0,18.0,19.0
49,12.0,18.0,20.0
50,12.0,18.0,21.0
51,12.0,19.0,21.0
52,12.0,20.0,21.0
53,12.0,21.0,21.0
54,12.0,22.0,21.0
55,12.0,23.0,21.0
56,12.0,24.0,21.0
57,12.0,25.0,21.0
58,12.0,26.0,21.0
59,12.0,27.0,21.0
60,12.0,28.0,21.0
61,12.0,29.0,21.0
62,12.0,30.0,21.0
63,12.0,30.0,22.0
64,12.0,30.0,23.0
65,12.0,30.0,24.0
66,13.0,30.0,24.0
67,14.0,30.0,24.0
68,15.0,30.0,24.0
69,15.0,31.0,24.0
70,15.0,32.0,24.0
71,15.0,33.0,24.0
72,15.0,33.0,25.0
73,15.0,33.0,26.0
74,15.0,33.0,27.0
75,15.0,34.0,27.0
76,15.0,35.0,27.0
77,15.0,36.0,27.0
78,15.0,36.0,28.0
79,15.0,36.0,29.0
80,15.0,36.0,30.0
81,16.0,36.0,30.0
82,17.0,36.0,30.0
83,18.0,36.0,30.0
84,18.0,37.0,30.0
85,18.0,38.0,30.0
86,18.0,39.0,30.0
87,18.0,39.0,31.0
88,18.0,39.0,32.0
89,18.0,39.0,33.0
90,18.0,40.0,33.0
91,18.0,41.0,33.0
92,18.0,42.0,33.0
93,18.0,43.0,33.0
94,18.0,44.0,33.0
