,inaction,disengange,engange
0,-5.0,0.0,0.0
1,-6.666666666666667,0.0,0.0
2,-7.5,0.0,0.0
3,-7.5,0.0,-4.5
4,-7.5,0.0,-4.666666666666667
5,-7.5,0.0,-4.25
6,-7.5,0.0,-5.2
7,-7.5,0.0,-5.166666666666667
8,-7.5,0.0,-4.857142857142857
9,-7.5,0.0,-5.375
10,-7.5,0.0,-5.333333333333333
11,-7.5,0.0,-5.1
12,-7.5,0.0,-5.545454545454546
13,-7.5,0.0,-5.583333333333333
14,-7.5,0.0,-5.461538461538462
15,-7.5,0.0,-5.571428571428571
16,-7.5,0.0,-5.4
17,-7.5,0.0,-5.125
18,-7.5,0.0,-5.235294117647059
19,-7.5,0.0,-5.111111111111111
20,-7.5,0.0,-4.894736842105263
21,-7.5,0.0,-5.1
22,-7.5,0.0,-5.095238095238095
23,-7.5,0.0,-5.0
24,-7.5,0.0,-5.217391304347826
25,-7.5,0.0,-5.25
26,-7.5,0.0,-5.2
27,-7.5,0.0,-5.384615384615385
28,-7.5,0.0,-5.407407407407407
29,-7.5,0.0,-5.357142857142857
30,-7.5,0.0,-5.482758620689655
31,-7.5,0.0,-5.466666666666667
32,-7.5,0.0,-5.387096774193548
33,-7.5,0.0,-5.4375
34,-7.5,0.0,-5.363636363636363
35,-7.5,0.0,-5.235294117647059
36,-7.5,0.0,-5.285714285714286
37,-7.5,0.0,-5.222222222222222
38,-7.5,0.0,-5.108108108108108
39,-7.5,0.0,-5.157894736842105
40,-7.5,0.0,-5.102564102564102
41,-7.5,0.0,-5.0
42,-7.5,0.0,-5.048780487804878
43,-7.5,0.0,-5.0
44,-7.5,0.0,-4.906976744186046
45,-7.5,0.0,-5.0227272727272725
46,-7.5,0.0,-5.044444444444444
47,-7.5,0.0,-5.021739130434782
48,-7.5,0.0,-5.085106382978723
49,-7.5,0.0,-5.0625
50,-7.5,0.0,-5.0
51,-7.5,0.0,-5.04
52,-7.5,0.0,-5.0
53,-7.5,0.0,-4.923076923076923
54,-7.5,0.0,-4.962264150943396
55,-7.5,0.0,-4.925925925925926
56,-7.5,0.0,-4.8545454545454545
57,-7.5,0.0,-4.928571428571429
58,-7.5,0.0,-4.9298245614035086
59,-7.5,0.0,-4.896551724137931
60,-7.5,0.0,-4.966101694915254
61,-7.5,0.0,-4.966666666666667
62,-7.5,0.0,-4.934426229508197
63,-7.5,0.0,-5.0
64,-7.5,0.0,-5.0
65,-7.5,0.0,-4.96875
66,-7.5,0.0,-5.046153846153846
67,-7.5,0.0,-5.0606060606060606
68,-7.5,0.0,-5.044776119402985
69,-7.5,0.0,-5.117647058823529
70,-7.5,0.0,-5.130434782608695
71,-7.5,0.0,-5.114285714285714
72,-7.5,0.0,-5.154929577464789
73,-7.5,0.0,-5.138888888888889
74,-7.5,0.0,-5.095890410958904
75,-7.5,0.0,-5.121621621621622
76,-7.5,0.0,-5.093333333333334
77,-7.5,0.0,-5.0394736842105265
78,-7.5,0.0,-5.090909090909091
