,inaction,disengange,engange
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,2.0,1.0,0.0
3,2.0,2.0,0.0
4,2.0,2.0,1.0
5,2.0,2.0,2.0
6,2.0,2.0,3.0
7,2.0,2.0,4.0
8,2.0,2.0,5.0
9,2.0,2.0,6.0
10,2.0,2.0,7.0
11,2.0,2.0,8.0
12,2.0,2.0,9.0
13,2.0,2.0,10.0
14,2.0,3.0,10.0
15,2.0,4.0,10.0
16,2.0,4.0,11.0
17,2.0,4.0,12.0
18,2.0,4.0,13.0
19,2.0,4.0,14.0
20,3.0,4.0,14.0
21,4.0,4.0,14.0
22,4.0,4.0,15.0
23,4.0,4.0,16.0
24,4.0,5.0,16.0
25,4.0,6.0,16.0
26,5.0,6.0,16.0
27,6.0,6.0,16.0
28,6.0,6.0,17.0
29,6.0,6.0,18.0
30,6.0,6.0,19.0
31,6.0,6.0,20.0
32,6.0,6.0,21.0
33,6.0,6.0,22.0
34,6.0,6.0,23.0
35,6.0,6.0,24.0
36,6.0,7.0,24.0
37,6.0,8.0,24.0
38,6.0,8.0,25.0
39,6.0,8.0,26.0
40,6.0,8.0,27.0
41,6.0,8.0,28.0
42,6.0,8.0,29.0
43,6.0,8.0,30.0
44,6.0,8.0,31.0
45,6.0,8.0,32.0
46,7.0,8.0,32.0
47,8.0,8.0,32.0
48,8.0,8.0,33.0
49,8.0,8.0,34.0
50,8.0,8.0,35.0
51,8.0,8.0,36.0
52,9.0,8.0,36.0
53,10.0,8.0,36.0
54,10.0,9.0,36.0
55,10.0,10.0,36.0
56,10.0,10.0,37.0
57,10.0,10.0,38.0
58,11.0,10.0,38.0
59,12.0,10.0,38.0
60,12.0,10.0,39.0
61,12.0,10.0,40.0
62,12.0,10.0,41.0
63,12.0,10.0,42.0
64,12.0,10.0,43.0
65,12.0,10.0,44.0
66,12.0,10.0,45.0
67,12.0,10.0,46.0
68,12.0,10.0,47.0
69,12.0,10.0,48.0
70,12.0,11.0,48.0
71,12.0,12.0,48.0
72,12.0,12.0,49.0
73,12.0,12.0,50.0
74,12.0,12.0,51.0
75,12.0,12.0,52.0
76,12.0,12.0,53.0
77,12.0,12.0,54.0
78,13.0,12.0,54.0
79,14.0,12.0,54.0
80,14.0,12.0,55.0
81,14.0,12.0,56.0
82,14.0,12.0,57.0
83,14.0,12.0,58.0
84,14.0,13.0,58.0
85,14.0,14.0,58.0
86,15.0,14.0,58.0
87,16.0,14.0,58.0
88,16.0,14.0,59.0
89,16.0,14.0,60.0
90,16.0,14.0,61.0
91,16.0,14.0,62.0
92,16.0,15.0,62.0
93,16.0,16.0,62.0
94,16.0,16.0,63.0
