,inaction,disengange,engange
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,2.0,1.0,0.0
3,2.0,2.0,0.0
4,2.0,2.0,1.0
5,2.0,2.0,2.0
6,2.0,3.0,2.0
7,2.0,4.0,2.0
8,2.0,5.0,2.0
9,2.0,6.0,2.0
10,2.0,6.0,3.0
11,2.0,6.0,4.0
12,2.0,7.0,4.0
13,2.0,8.0,4.0
14,3.0,8.0,4.0
15,4.0,8.0,4.0
16,4.0,8.0,5.0
17,4.0,8.0,6.0
18,4.0,9.0,6.0
19,4.0,10.0,6.0
20,5.0,10.0,6.0
21,6.0,10.0,6.0
22,6.0,11.0,6.0
23,6.0,12.0,6.0
24,6.0,12.0,7.0
25,6.0,12.0,8.0
26,7.0,12.0,8.0
27,8.0,12.0,8.0
28,8.0,13.0,8.0
29,8.0,14.0,8.0
30,8.0,14.0,9.0
31,8.0,14.0,10.0
32,8.0,15.0,10.0
33,8.0,16.0,10.0
34,8.0,16.0,11.0
35,8.0,16.0,12.0
36,9.0,16.0,12.0
37,10.0,16.0,12.0
38,10.0,17.0,12.0
39,10.0,18.0,12.0
40,10.0,19.0,12.0
41,10.0,20.0,12.0
42,10.0,20.0,13.0
43,10.0,20.0,14.0
44,10.0,21.0,14.0
45,10.0,22.0,14.0
46,10.0,22.0,15.0
47,10.0,22.0,16.0
48,10.0,23.0,16.0
49,10.0,24.0,16.0
50,11.0,24.0,16.0
51,12.0,24.0,16.0
52,12.0,24.0,17.0
53,12.0,24.0,18.0
54,12.0,24.0,19.0
55,12.0,24.0,20.0
56,12.0,25.0,20.0
57,12.0,26.0,20.0
58,13.0,26.0,20.0
59,14.0,26.0,20.0
60,14.0,26.0,21.0
61,14.0,26.0,22.0
62,14.0,27.0,22.0
63,14.0,28.0,22.0
64,14.0,29.0,22.0
65,14.0,30.0,22.0
66,14.0,31.0,22.0
67,14.0,32.0,22.0
68,14.0,32.0,23.0
69,14.0,32.0,24.0
70,14.0,33.0,24.0
71,14.0,34.0,24.0
72,15.0,34.0,24.0
73,16.0,34.0,24.0
74,16.0,34.0,25.0
75,16.0,34.0,26.0
76,16.0,35.0,26.0
77,16.0,36.0,26.0
78,16.0,36.0,27.0
79,16.0,36.0,28.0
80,16.0,37.0,28.0
81,16.0,38.0,28.0
82,16.0,38.0,29.0
83,16.0,38.0,30.0
84,16.0,39.0,30.0
85,16.0,40.0,30.0
86,17.0,40.0,30.0
87,18.0,40.0,30.0
88,18.0,41.0,30.0
89,18.0,42.0,30.0
90,18.0,43.0,30.0
91,18.0,44.0,30.0
92,18.0,44.0,31.0
93,18.0,44.0,32.0
94,19.0,44.0,32.0
